index,date,year,manner_of_death,armed,age,gender,race,city,state,state_ID,signs_of_mental_illness,threat_level,flee,flee_encoded,body_camera
2541,2017-07-31,2017,0,1,43,1,5,Albuquerque,NM,32,False,attack,Not fleeing,0,True
2542,2017-07-31,2017,1,1,39,1,2,Los Banos,CA,4,True,attack,Not fleeing,0,False
2543,2017-08-01,2017,0,0,37,1,1,Waco,TX,43,False,attack,Car,1,False
2544,2017-08-01,2017,0,1,39,1,5,Visalia,CA,4,False,attack,Foot,1,False
2545,2017-08-01,2017,0,1,42,1,5,Mt. Airy,NC,27,False,other,Not fleeing,0,False
2546,2017-08-01,2017,0,1,33,1,2,Yuba City,CA,4,False,attack,Not fleeing,0,False
2547,2017-08-01,2017,0,1,25,1,2,Las Vegas,NV,33,True,attack,Not fleeing,0,True
2548,2017-08-02,2017,0,1,29,1,1,Coushatta,LA,18,True,attack,Not fleeing,0,False
2549,2017-08-02,2017,0,1,45,1,2,Richmond,CA,4,False,attack,Car,1,False
2550,2017-08-02,2017,0,1,27,1,1,Atlanta,GA,10,False,attack,Not fleeing,0,False
2551,2017-08-02,2017,0,0,28,1,5,Mannington,WV,49,False,other,Car,1,False
2552,2017-08-03,2017,0,1,57,1,5,Lima,OH,35,False,attack,Not fleeing,0,False
2553,2017-08-03,2017,0,1,15,1,1,Gary,IN,15,False,attack,Foot,1,False
2554,2017-08-04,2017,0,1,33,1,5,Surfside Beach,SC,40,True,attack,Not fleeing,0,False
2555,2017-08-04,2017,0,1,35,1,5,Spanish Springs,NV,33,False,other,Not fleeing,0,False
2556,2017-08-04,2017,0,1,47,1,1,San Diego,CA,4,False,other,Not fleeing,0,False
2557,2017-08-04,2017,0,1,31,1,5,Lauderdale County,MS,25,True,attack,Not fleeing,0,True
2558,2017-08-04,2017,0,1,36,0,5,Marine City,MI,22,False,other,Not fleeing,0,False
2559,2017-08-04,2017,0,1,54,1,5,Mead Township,PA,38,False,other,Not fleeing,0,False
2560,2017-08-05,2017,0,1,24,1,5,New Straitsville,OH,35,False,attack,Not fleeing,0,False
2561,2017-08-05,2017,1,1,35,1,2,Santa Rosa,CA,4,True,attack,Not fleeing,0,True
2562,2017-08-06,2017,0,1,32,1,5,Bon Aqua,TN,42,False,other,Foot,1,False
2563,2017-08-06,2017,0,1,28,1,1,Kansas City,MO,24,False,attack,Foot,1,False
2564,2017-08-07,2017,0,1,45,1,2,North Bergen,NJ,31,False,attack,Not fleeing,0,False
2565,2017-08-07,2017,0,1,29,1,2,Wichita,KS,16,False,other,Not fleeing,0,False
2566,2017-08-07,2017,0,0,36,1,5,Blue Summit,MO,24,False,other,Car,1,False
2567,2017-08-08,2017,0,1,23,1,5,Junction City,KS,16,True,attack,Not fleeing,0,False
2568,2017-08-08,2017,0,1,17,1,1,Dalton,IL,14,False,other,Other,1,False
2569,2017-08-09,2017,0,0,20,1,1,Kent,WA,47,False,attack,Car,1,False
2570,2017-08-10,2017,0,1,33,1,5,Dyer,IN,15,False,attack,Not fleeing,0,False
2571,2017-08-10,2017,0,1,49,1,5,Los Angeles,CA,4,False,attack,Not fleeing,0,False
2573,2017-08-11,2017,0,1,31,1,1,Philadelphia,PA,38,True,other,Not fleeing,0,False
2574,2017-08-12,2017,0,1,35,1,2,Frederickstown,WA,47,False,attack,Not fleeing,0,False
2575,2017-08-13,2017,0,1,24,1,5,Habersham,GA,10,False,other,Not fleeing,0,False
2576,2017-08-13,2017,0,1,54,1,5,La Crosse,WI,48,False,other,Car,1,False
2577,2017-08-13,2017,0,1,41,1,5,Cosby,TN,42,False,attack,Foot,1,False
2578,2017-08-13,2017,0,1,50,1,1,Salt Lake City,UT,44,False,other,Foot,1,True
