index,date,year,manner_of_death,armed,age,gender,race,city,state,state_ID,signs_of_mental_illness,threat_level,flee,flee_encoded,body_camera,longitude,latitude
171,2015-03-09,2015,0,0,27,1,1,Atlanta,GA,10,True,other,Not fleeing,0,False,-84.267,33.88
172,2015-03-09,2015,0,1,58,1,5,Brevard,NC,27,False,attack,Not fleeing,0,False,-82.626,35.269
173,2015-03-09,2015,0,1,46,1,5,Dinosaur,CO,5,False,attack,Not fleeing,0,False,-109.01,40.246
174,2015-03-09,2015,0,1,30,1,1,Cocoa,FL,9,False,attack,Not fleeing,0,False,-80.749,28.351
175,2015-03-10,2015,0,1,64,1,1,Cleveland,OH,35,False,attack,Not fleeing,0,True,-81.641,41.45
176,2015-03-10,2015,0,1,31,1,1,Baton Rouge,LA,18,False,attack,Not fleeing,0,False,-91.169,30.536
177,2015-03-10,2015,0,1,23,1,5,Port Wentworth,GA,10,False,attack,Not fleeing,0,True,-81.184,32.165
178,2015-03-10,2015,0,1,37,1,2,Ontario,CA,4,True,other,Car,1,False,-117.655,34.05
179,2015-03-11,2015,0,0,37,1,1,Elkton,MD,20,False,other,Not fleeing,0,False,-75.816,39.573
180,2015-03-11,2015,0,1,31,1,5,Memphis,TN,42,True,attack,Not fleeing,0,False,-90.0,35.158
181,2015-03-11,2015,0,1,39,1,2,Santa Ana,CA,4,False,attack,Not fleeing,0,False,-117.868,33.743
182,2015-03-11,2015,0,1,31,1,5,Kingman,AZ,3,True,attack,Not fleeing,0,False,-114.026,35.204
183,2015-03-11,2015,0,1,54,1,5,Bay Minette,AL,1,False,attack,Not fleeing,0,False,-87.891,30.862
184,2015-03-11,2015,0,1,53,1,5,Hoover,AL,1,True,attack,Not fleeing,0,False,-86.849,33.417
185,2015-03-11,2015,0,0,25,1,2,Los Angeles,CA,4,False,other,Not fleeing,0,False,-118.22,33.939
186,2015-03-12,2015,0,0,35,1,1,Washington,DC,7,True,other,Not fleeing,0,False,-76.983,38.882
187,2015-03-13,2015,0,1,41,1,2,Napa,CA,4,False,other,Other,1,False,-122.274,38.306
188,2015-03-13,2015,0,1,59,1,5,Kansas City,MO,24,False,attack,Not fleeing,0,False,-94.487,38.947
189,2015-03-13,2015,0,1,36,1,5,Fontana,CA,4,False,attack,Not fleeing,0,False,-117.43,34.078
190,2015-03-13,2015,0,0,32,1,2,Walnut Creek,CA,4,False,other,Foot,1,False,-118.229,33.971
